Source: USDA Branded Food Products Database Release May 2016 Software v.2.6.1
Report Run at: September 02, 2016 06:27 EDT
"Nutrient data for: 45000213, V8, V8 V-FUSION BEVERAGE STRAWBERRY BANANA, UNPREPARED, GTIN: 10051000202540"
Nutrient,Unit,"8.0 FL. OZ (240 mL) = 241.0g",1Value per 100 g,
Proximates
"Energy",kcal,51,21
"Protein",g,0.00,0.00
"Total lipid (fat)",g,0.00,0.00
"Carbohydrate, by difference",g,12.00,4.98
"Fiber, total dietary",g,0.0,0.0
"Sugars, total",g,10.00,4.15
Minerals
"Calcium, Ca",mg,22,9
"Iron, Fe",mg,0.00,0.00
"Sodium, Na",mg,36,15
Vitamins
"Vitamin C, total ascorbic acid",mg,60.0,24.9
"Vitamin A, IU",IU,1000,415
Lipids
"Fatty acids, total saturated",g,0.000,0.000
"Fatty acids, total trans",g,0.000,0.000
"Cholesterol",mg,0,0
Amino Acids
Other
Ingredients
"WATER, RECONSTITUTED VEGETABLE JUICE BLEND (WATER AND CONCENTRATED JUICES OF SWEET POTATOES, CARROTS, TOMATOES, BEETS), RECONSTITUTED FRUIT JUICES (WATER AND CONCENTRATED JUICES OF APPLES, ORANGES, STRAWBERRIES, CLARIFIED BANANAS), CONTAINS LESS THAN 2% OF: NATURAL FLAVORING, VITAMIN C (ASCORBIC ACID), CITRIC ACID, BANANA PUREE, SUCRALOSE, VITAMIN E (ALPHA TOCOPHEROL ACETATE)." Date available: 01/06/2013 Date last updated by company: 12/30/2014
